Menu_ID,Restaurant_ID,Food_category,Item_name,Price,Currency,Calories,Protein,Fat,Carbohydrates,Sugar,Sodium,Vegetarian,Vegan,Gluten_free
MENRES000000_0,RES000000,Main,Main Item 0,13.75,USD,998,49.3,62.9,53.2,75.7,42.4,False,False,True
MENRES000000_1,RES000000,Beverage,Beverage Item 1,15.15,USD,747,31.5,81.9,127.4,75.7,1458.2,False,False,True
MENRES000000_2,RES000000,Starter,Starter Item 2,29.0,USD,177,0.1,22.1,9.8,7.0,1249.0,True,True,False
MENRES000000_3,RES000000,Main,Main Item 3,14.89,USD,779,16.9,48.1,50.4,59.9,1954.8,True,False,True
MENRES000000_4,RES000000,Beverage,Beverage Item 4,19.88,USD,869,45.6,20.5,32.2,9.0,1731.4,False,False,False
MENRES000000_5,RES000000,Starter,Starter Item 5,23.48,USD,612,11.5,2.5,44.7,20.0,1845.5,False,False,False
MENRES000001_0,RES000001,Dessert,Dessert Item 0,85.5,USD,826,26.5,13.5,23.2,32.5,388.5,False,False,False
MENRES000001_1,RES000001,Starter,Starter Item 1,80.87,USD,1004,52.3,37.5,51.1,56.2,288.8,False,False,True
MENRES000001_2,RES000001,Starter,Starter Item 2,103.31,USD,513,82.8,95.8,26.8,10.5,1915.6,False,False,True
MENRES000001_3,RES000001,Beverage,Beverage Item 3,97.82,USD,681,76.1,66.2,78.8,37.6,481.8,True,True,False
MENRES000001_4,RES000001,Starter,Starter Item 4,66.53,USD,1453,98.9,81.8,132.3,91.4,1690.3,True,True,False
MENRES000001_5,RES000001,Main,Main Item 5,20.83,USD,1282,93.3,77.3,47.8,85.7,1678.9,True,True,False
MENRES000001_6,RES000001,Starter,Starter Item 6,71.41,USD,1309,0.7,12.2,68.7,71.2,1509.5,True,False,True
MENRES000001_7,RES000001,Starter,Starter Item 7,109.45,USD,1048,20.4,97.2,6.1,17.8,1322.9,True,False,True
MENRES000001_8,RES000001,Main,Main Item 8,24.88,USD,669,86.7,89.0,148.8,41.2,1309.2,False,False,True
MENRES000001_9,RES000001,Starter,Starter Item 9,38.21,USD,1221,9.6,28.5,82.2,56.3,1991.6,True,True,True
MENRES000001_10,RES000001,Dessert,Dessert Item 10,23.65,USD,218,59.5,49.5,6.2,81.2,131.9,True,False,False
MENRES000001_11,RES000001,Starter,Starter Item 11,115.56,USD,1382,70.3,67.2,70.9,46.8,1192.7,True,True,False
MENRES000001_12,RES000001,Main,Main Item 12,77.39,USD,483,91.8,62.8,33.3,90.5,732.7,True,False,True
MENRES000001_13,RES000001,Beverage,Beverage Item 13,44.87,USD,924,24.4,8.7,64.5,15.4,1067.5,False,False,True
MENRES000001_14,RES000001,Dessert,Dessert Item 14,103.74,USD,1017,78.7,31.4,91.5,96.5,1056.3,True,False,True
MENRES000002_0,RES000002,Dessert,Dessert Item 0,40.69,GBP,1303,81.8,91.1,21.4,72.2,163.2,True,True,True
MENRES000002_1,RES000002,Dessert,Dessert Item 1,23.19,GBP,1223,94.1,36.4,10.2,38.5,1466.5,True,True,True
MENRES000002_2,RES000002,Starter,Starter Item 2,37.6,GBP,1196,74.3,50.0,37.5,85.2,146.0,False,False,False
MENRES000002_3,RES000002,Starter,Starter Item 3,53.53,GBP,1040,7.5,52.8,11.7,4.7,1036.9,False,False,False
MENRES000002_4,RES000002,Beverage,Beverage Item 4,75.76,GBP,700,84.6,36.7,61.1,6.7,639.2,True,False,True
MENRES000002_5,RES000002,Dessert,Dessert Item 5,30.91,GBP,782,42.1,60.6,8.2,15.7,1729.0,False,False,True
MENRES000002_6,RES000002,Starter,Starter Item 6,76.0,GBP,1431,0.5,75.3,147.0,79.8,651.6,True,True,False
MENRES000002_7,RES000002,Starter,Starter Item 7,76.6,GBP,1320,5.5,31.5,59.9,25.0,1415.6,True,True,False
MENRES000003_0,RES000003,Dessert,Dessert Item 0,128.2,GBP,821,64.5,99.5,88.2,94.2,982.4,True,False,False
MENRES000003_1,RES000003,Main,Main Item 1,110.14,GBP,130,86.6,10.6,108.4,7.8,347.3,True,False,False
MENRES000003_2,RES000003,Beverage,Beverage Item 2,70.27,GBP,945,86.7,97.2,80.3,99.3,303.6,True,False,False
MENRES000003_3,RES000003,Main,Main Item 3,50.53,GBP,889,94.8,91.8,12.1,21.4,167.1,False,False,False
MENRES000003_4,RES000003,Dessert,Dessert Item 4,84.02,GBP,1437,76.1,67.8,88.2,33.7,686.6,True,True,True
MENRES000003_5,RES000003,Starter,Starter Item 5,79.85,GBP,1073,47.9,8.7,125.4,70.3,867.7,True,True,False
MENRES000003_6,RES000003,Dessert,Dessert Item 6,24.58,GBP,796,76.1,77.5,0.7,20.7,178.3,False,False,False
MENRES000003_7,RES000003,Starter,Starter Item 7,126.87,GBP,271,2.3,29.9,50.7,40.3,1754.2,True,False,True
MENRES000003_8,RES000003,Beverage,Beverage Item 8,116.43,GBP,1472,53.3,4.5,93.6,48.2,1969.8,False,False,True
MENRES000003_9,RES000003,Dessert,Dessert Item 9,99.19,GBP,567,48.8,64.0,121.5,64.1,399.6,True,True,False
MENRES000003_10,RES000003,Main,Main Item 10,136.36,GBP,184,1.6,96.3,10.7,45.1,1361.2,True,True,True
MENRES000004_0,RES000004,Starter,Starter Item 0,12.09,JPY,1171,78.0,39.8,146.7,81.6,1428.9,False,False,False
MENRES000004_1,RES000004,Starter,Starter Item 1,13.39,JPY,966,12.1,66.5,73.6,42.2,149.7,False,False,True
MENRES000004_2,RES000004,Main,Main Item 2,38.97,JPY,663,58.0,5.4,143.8,81.3,1630.1,True,False,False
MENRES000004_3,RES000004,Dessert,Dessert Item 3,26.06,JPY,1256,92.7,36.5,119.5,3.6,1243.2,True,False,False
MENRES000004_4,RES000004,Dessert,Dessert Item 4,18.06,JPY,1087,44.1,40.4,142.4,4.3,1058.7,False,False,False
MENRES000004_5,RES000004,Starter,Starter Item 5,27.19,JPY,186,59.8,79.5,134.6,65.1,1554.4,False,False,True
MENRES000004_6,RES000004,Beverage,Beverage Item 6,18.64,JPY,545,1.7,13.4,79.0,9.5,225.5,False,False,False
MENRES000004_7,RES000004,Main,Main Item 7,14.05,JPY,315,86.9,67.9,67.2,43.1,916.1,True,True,False
MENRES000004_8,RES000004,Starter,Starter Item 8,20.82,JPY,1100,80.1,64.3,90.4,37.5,1040.8,True,False,False
MENRES000004_9,RES000004,Dessert,Dessert Item 9,25.12,JPY,730,94.5,55.6,122.3,92.1,583.5,True,False,False
MENRES000004_10,RES000004,Starter,Starter Item 10,6.57,JPY,787,85.0,36.1,12.1,69.2,163.2,False,False,False
MENRES000005_0,RES000005,Main,Main Item 0,52.07,JPY,452,86.9,99.7,132.1,75.4,1222.6,True,False,False
MENRES000005_1,RES000005,Main,Main Item 1,16.83,JPY,1487,81.9,73.5,118.7,45.9,1758.2,False,False,True
